instrument,exchange,tm,value,type,timeinterval
BTCUSDT,binance,2022/2/17 21:07,75798.15,,minutes
BTCUSDT,binance,2022/2/17 21:06,75804.811,,minutes
BTCUSD_PERP,binance,2022/2/17 21:06,8296955,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:05,8311385,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:05,75747.412,,minutes
BTCUSDT,binance,2022/2/17 21:04,75709.477,,minutes
BTCUSD_PERP,binance,2022/2/17 21:04,8321815,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:03,8321387,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:03,75716.776,,minutes
BTCUSDT,binance,2022/2/17 21:02,75726.16,,minutes
BTCUSD_PERP,binance,2022/2/17 21:02,8317305,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:01,8319445,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:01,75724.627,,minutes
BTCUSDT,binance,2022/2/17 21:00,75725.818,,minutes
BTCUSD_PERP,binance,2022/2/17 21:00,8324468,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 20:59,8317645,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 20:59,75751.93,,minutes
BTCUSDT,binance,2022/2/17 20:58,75825.223,,minutes
BTCUSD_PERP,binance,2022/2/17 20:58,8312651,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 20:57,8311592,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 20:57,75819.734,,minutes
BTCUSDT,binance,2022/2/17 20:56,75856.536,,minutes
BTCUSD_PERP,binance,2022/2/17 20:56,8316802,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 20:55,8318004,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 20:55,75854.733,,minutes
BTCUSDT,binance,2022/2/17 20:54,75828.359,,minutes
BTCUSD_PERP,binance,2022/2/17 20:54,8315905,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 20:53,8314165,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 20:53,75842.279,,minutes
BTCUSDT,binance,2022/2/17 20:52,75890.795,,minutes
BTCUSD_PERP,binance,2022/2/17 20:52,8309323,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 20:51,8310083,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 20:51,75909.065,,minutes
BTCUSDT,binance,2022/2/17 20:50,75906.607,,minutes
